"gene","size","name","description"
"ENSG00000150961.14",4030,"SEC24D","SEC24"
"ENSG00000150967.17",6051,"ABCB9","ATP"
"ENSG00000150977.10",6141,"RILPL2","Rab"
"ENSG00000150990.7",4550,"DHX37","DEAH-box"
"ENSG00000150991.14",3745,"UBC","ubiquitin"
"ENSG00000150995.18",10242,"ITPR1","inositol"
"ENSG00000151005.4",2654,"TKTL2","transketolase"
"ENSG00000151006.7",2181,"PRSS53","serine"
"ENSG00000151012.13",9645,"SLC7A11","solute"
"ENSG00000151014.5",1952,"NOCT","nocturnin"
"ENSG00000151023.16",3382,"ENKUR","enkurin,"
"ENSG00000151025.9",6959,"GPR158","G"
"ENSG00000151033.8",818,"LYZL2","lysozyme"
"ENSG00000151062.14",5475,"CACNA2D4","calcium"
"ENSG00000151065.13",2231,"DCP1B","decapping"
"ENSG00000151067.21",13433,"CACNA1C","calcium"
"ENSG00000151079.7",4237,"KCNA6","potassium"
"ENSG00000151090.18",7402,"THRB","thyroid"
"ENSG00000151092.16",2534,"NGLY1","N-glycanase"
"ENSG00000151093.7",1519,"OXSM","3-oxoacyl-ACP"
"ENSG00000151116.16",4156,"UEVLD","UEV"
"ENSG00000151117.8",3595,"TMEM86A","transmembrane"
"ENSG00000151131.10",23529,"C12orf45","chromosome"
"ENSG00000151135.9",3362,"TMEM263","transmembrane"
"ENSG00000151136.14",5767,"BTBD11","BTB"
"ENSG00000151148.13",5722,"UBE3B","ubiquitin"
"ENSG00000151150.21",16874,"ANK3","ankyrin"
"ENSG00000151151.5",6133,"IPMK","inositol"
"ENSG00000151164.18",2794,"RAD9B","RAD9"
"ENSG00000151176.7",4800,"PLBD2","phospholipase"
"ENSG00000151208.16",7415,"DLG5","discs"
"ENSG00000151224.12",3410,"MAT1A","methionine"
"ENSG00000151229.12",7003,"SLC2A13","solute"
"ENSG00000151233.10",7497,"GXYLT1","glucoside"
"ENSG00000151239.13",3045,"TWF1","twinfilin"
"ENSG00000151240.16",7888,"DIP2C","disco"
"ENSG00000151247.12",11523,"EIF4E","eukaryotic"
"ENSG00000151276.23",7415,"MAGI1","membrane"
"ENSG00000151287.16",1689,"TEX30","testis"
"ENSG00000151292.17",4635,"CSNK1G3","casein"
"ENSG00000151304.5",2855,"SRFBP1","serum"
"ENSG00000151320.10",15006,"AKAP6","A-kinase"
"ENSG00000151322.18",5847,"NPAS3","neuronal"
"ENSG00000151327.12",3254,"FAM177A1","family"
"ENSG00000151332.18",1809,"MBIP","MAP3K12"
"ENSG00000151338.18",7185,"MIPOL1","mirror-image"
"ENSG00000151348.13",3454,"EXT2","exostosin"
"ENSG00000151353.14",2762,"TMEM18","transmembrane"
"ENSG00000151360.9",1446,"ALLC","allantoicase"
"ENSG00000151364.16",1691,"KCTD14","potassium"
"ENSG00000151365.2",1174,"THRSP","thyroid"
"ENSG00000151366.12",2518,"NDUFC2","NADH:ubiquinone"
"ENSG00000151376.16",2311,"ME3","malic"
"ENSG00000151379.3",606,"MSGN1","mesogenin"
"ENSG00000151388.10",8774,"ADAMTS12","ADAM"
"ENSG00000151413.16",3049,"NUBPL","nucleotide"
"ENSG00000151414.14",4149,"NEK7","NIMA"
"ENSG00000151418.11",678,"ATP6V1G3","ATPase"
"ENSG00000151422.12",12119,"FER","FER"
"ENSG00000151445.15",2934,"VIPAS39","VPS33B"
"ENSG00000151458.11",8794,"ANKRD50","ankyrin"
"ENSG00000151461.19",5569,"UPF2","UPF2,"
"ENSG00000151465.13",1542,"CDC123","cell"
"ENSG00000151466.11",3055,"SCLT1","sodium"
"ENSG00000151468.10",3180,"CCDC3","coiled-coil"
"ENSG00000151470.12",6170,"C4orf33","chromosome"
"ENSG00000151474.21",6821,"FRMD4A","FERM"
"ENSG00000151475.5",1841,"SLC25A31","solute"
"ENSG00000151490.13",5301,"PTPRO","protein"
"ENSG00000151491.13",5016,"EPS8","epidermal"
"ENSG00000151498.11",2249,"ACAD8","acyl-CoA"
"ENSG00000151500.14",1299,"THYN1","thymocyte"
"ENSG00000151502.10",3691,"VPS26B","VPS26,"
"ENSG00000151503.12",5061,"NCAPD3","non-SMC"
"ENSG00000151532.13",4131,"VTI1A","vesicle"
"ENSG00000151552.11",1648,"QDPR","quinoid"
"ENSG00000151553.14",5810,"FAM160B1","family"
"ENSG00000151572.17",3909,"ANO4","anoctamin"
"ENSG00000151575.14",4440,"TEX9","testis"
"ENSG00000151576.10",4023,"QTRT2","queuine"
"ENSG00000151577.12",1640,"DRD3","dopamine"
"ENSG00000151611.13",7068,"MMAA","methylmalonic"
"ENSG00000151612.15",7463,"ZNF827","zinc"
"ENSG00000151615.3",3144,"POU4F2","POU"
"ENSG00000151617.15",4135,"EDNRA","endothelin"
"ENSG00000151623.14",5909,"NR3C2","nuclear"
"ENSG00000151632.17",3756,"AKR1C2","aldo-keto"
"ENSG00000151640.12",2729,"DPYSL4","dihydropyrimidinase"
"ENSG00000151650.7",2911,"VENTX","VENT"
"ENSG00000151651.15",3279,"ADAM8","ADAM"
"ENSG00000151655.18",3193,"ITIH2","inter-alpha-trypsin"
"ENSG00000151657.11",6348,"KIN","Kin17"
"ENSG00000151665.12",1372,"PIGF","phosphatidylinositol"
"ENSG00000151687.14",4410,"ANKAR","ankyrin"
"ENSG00000151689.12",2162,"INPP1","inositol"
"ENSG00000151690.14",4797,"MFSD6","major"
"ENSG00000151692.14",5743,"RNF144A","ring"
"ENSG00000151693.10",5712,"ASAP2","ArfGAP"
"ENSG00000151694.12",4349,"ADAM17","ADAM"
"ENSG00000151702.16",4151,"FLI1","Fli-1"
"ENSG00000151704.15",4074,"KCNJ1","potassium"
"ENSG00000151715.7",2234,"TMEM45B","transmembrane"
"ENSG00000151718.15",8826,"WWC2","WW"
"ENSG00000151725.11",1998,"CENPU","centromere"
"ENSG00000151726.13",4103,"ACSL1","acyl-CoA"
"ENSG00000151729.10",4440,"SLC25A4","solute"
"ENSG00000151743.10",2110,"AMN1","antagonist"
"ENSG00000151746.13",8811,"BICD1","BICD"
"ENSG00000151748.14",3063,"SAV1","salvador"
"ENSG00000151773.12",2009,"CCDC122","coiled-coil"
"ENSG00000151778.10",784,"SERP2","stress"
"ENSG00000151779.12",7281,"NBAS","neuroblastoma"
"ENSG00000151789.10",10699,"ZNF385D","zinc"
"ENSG00000151790.8",1701,"TDO2","tryptophan"
"ENSG00000151806.13",4449,"GUF1","GUF1"
"ENSG00000151812.14",1908,"SLC35F4","solute"
"ENSG00000151834.15",5812,"GABRA2","gamma-aminobutyric"
"ENSG00000151835.15",15665,"SACS","sacsin"
"ENSG00000151838.11",2616,"CCDC175","coiled-coil"
"ENSG00000151846.8",3387,"PABPC3","poly(A)"
"ENSG00000151849.14",5020,"CENPJ","centromere"
"ENSG00000151876.12",1731,"FBXO4","F-box"
"ENSG00000151881.14",2950,"TMEM267","transmembrane"
"ENSG00000151882.11",3126,"CCL28","C-C"
"ENSG00000151883.17",7177,"PARP8","poly(ADP-ribose)"
"ENSG00000151892.14",9216,"GFRA1","GDNF"
"ENSG00000151893.14",11311,"CACUL1","CDK2"
"ENSG00000151914.19",22431,"DST","dystonin"
"ENSG00000151917.17",3497,"BEND6","BEN"
"ENSG00000151923.17",5072,"TIAL1","TIA1"
"ENSG00000151929.9",2571,"BAG3","BCL2"
"ENSG00000151948.11",2995,"GLT1D1","glycosyltransferase"
"ENSG00000151952.15",5776,"TMEM132D","transmembrane"
"ENSG00000151962.7",3626,"RBM46","RNA"
"ENSG00000151967.18",1799,"SCHIP1","schwannomin"
"ENSG00000152034.10",2368,"MCHR2","melanin"
"ENSG00000152049.6",3291,"KCNE4","potassium"
"ENSG00000152056.16",1785,"AP1S3","adaptor"
"ENSG00000152061.23",6821,"RABGAP1L","RAB"
"ENSG00000152076.18",1549,"CCDC74B","coiled-coil"
"ENSG00000152078.9",6822,"TMEM56","transmembrane"
"ENSG00000152082.13",933,"MZT2B","mitotic"
"ENSG00000152086.8",1542,"TUBA3E","tubulin"
"ENSG00000152092.15",7116,"ASTN1","astrotactin"
"ENSG00000152093.7",1554,"CFC1B","cripto,"
"ENSG00000152102.17",5285,"FAM168B","family"
"ENSG00000152104.11",12985,"PTPN14","protein"
"ENSG00000152127.8",8252,"MGAT5","mannosyl"
"ENSG00000152128.13",1892,"TMEM163","transmembrane"
"ENSG00000152133.14",3906,"GPATCH11","G-patch"
"ENSG00000152137.6",2152,"HSPB8","heat"
"ENSG00000152147.10",3728,"GEMIN6","gem"
"ENSG00000152154.10",1662,"TMEM178A","transmembrane"
"ENSG00000152192.7",4547,"POU4F1","POU"
"ENSG00000152193.7",3529,"RNF219","ring"
"ENSG00000152207.7",4672,"CYSLTR2","cysteinyl"
"ENSG00000152208.12",6117,"GRID2","glutamate"
"ENSG00000152213.3",3760,"ARL11","ADP"
"ENSG00000152214.12",1156,"RIT2","Ras"
"ENSG00000152217.17",9899,"SETBP1","SET"
"ENSG00000152219.4",3417,"ARL14EP","ADP"
"ENSG00000152223.12",12633,"EPG5","ectopic"
"ENSG00000152229.18",3000,"PSTPIP2","proline-serine-threonine"
"ENSG00000152234.15",5818,"ATP5F1A","ATP"
"ENSG00000152240.12",1125,"HAUS1","HAUS"
"ENSG00000152242.10",5462,"C18orf25","chromosome"
"ENSG00000152253.8",1354,"SPC25","SPC25,"
"ENSG00000152254.10",1214,"G6PC2","glucose-6-phosphatase"
"ENSG00000152256.13",14193,"PDK1","pyruvate"
"ENSG00000152266.6",813,"PTH","parathyroid"
"ENSG00000152270.8",6076,"PDE3B","phosphodiesterase"
"ENSG00000152284.4",2968,"TCF7L1","transcription"
"ENSG00000152291.13",6489,"TGOLN2","trans-golgi"
"ENSG00000152292.16",1975,"SH2D6","SH2"
"ENSG00000152315.4",2522,"KCNK13","potassium"
"ENSG00000152332.15",8478,"UHMK1","U2AF"
"ENSG00000152348.15",3033,"ATG10","autophagy"
"ENSG00000152359.14",2229,"POC5","POC5"
"ENSG00000152377.13",4846,"SPOCK1","SPARC"
"ENSG00000152380.9",1717,"FAM151B","family"
"ENSG00000152382.5",2159,"TADA1","transcriptional"
"ENSG00000152402.10",16205,"GUCY1A2","guanylate"
"ENSG00000152404.15",3278,"CWF19L2","CWF19"
"ENSG00000152409.8",9042,"JMY","junction"
"ENSG00000152413.14",5881,"HOMER1","homer"
"ENSG00000152422.15",1696,"XRCC4","X-ray"
"ENSG00000152430.17",3135,"BOLL","boule"
"ENSG00000152433.14",2739,"ZNF547","zinc"
"ENSG00000152439.12",5832,"ZNF773","zinc"
"ENSG00000152443.12",5292,"ZNF776","zinc"
"ENSG00000152454.3",2172,"ZNF256","zinc"
"ENSG00000152455.15",3087,"SUV39H2","suppressor"
"ENSG00000152457.17",3532,"DCLRE1C","DNA"
"ENSG00000152463.14",1767,"OLAH","oleoyl-ACP"
"ENSG00000152464.14",1537,"RPP38","ribonuclease"
"ENSG00000152465.17",2907,"NMT2","N-myristoyltransferase"
"ENSG00000152467.9",2054,"ZSCAN1","zinc"
"ENSG00000152475.6",2038,"ZNF837","zinc"
"ENSG00000152484.13",4511,"USP12","ubiquitin"
"ENSG00000152492.14",8957,"CCDC50","coiled-coil"
"ENSG00000152495.10",12240,"CAMK4","calcium/calmodulin"
"ENSG00000152503.9",4218,"TRIM36","tripartite"
"ENSG00000152518.7",3696,"ZFP36L2","ZFP36"
"ENSG00000152520.13",4940,"PAN3","poly(A)"
"ENSG00000152527.13",6981,"PLEKHH2","pleckstrin"
"ENSG00000152556.16",3226,"PFKM","phosphofructokinase,"
"ENSG00000152558.14",3579,"TMEM123","transmembrane"
"ENSG00000152578.12",5621,"GRIA4","glutamate"
"ENSG00000152580.8",11067,"IGSF10","immunoglobulin"
"ENSG00000152582.13",7350,"SPEF2","sperm"
"ENSG00000152583.12",2994,"SPARCL1","SPARC"
"ENSG00000152591.12",4331,"DSPP","dentin"
"ENSG00000152592.13",2682,"DMP1","dentin"
"ENSG00000152595.16",2226,"MEPE","matrix"
"ENSG00000152601.17",6458,"MBNL1","muscleblind"
"ENSG00000152611.11",1004,"CAPSL","calcyphosine"
"ENSG00000152620.12",3614,"NADK2","NAD"
"ENSG00000152642.10",4060,"GPD1L","glycerol-3-phosphate"
"ENSG00000152661.7",3037,"GJA1","gap"
"ENSG00000152669.8",1433,"CCNO","cyclin"
"ENSG00000152670.18",2884,"DDX4","DEAD-box"
"ENSG00000152672.7",2475,"CLEC4F","C-type"
"ENSG00000152683.14",5089,"SLC30A6","solute"
"ENSG00000152684.10",4349,"PELO","pelota"
"ENSG00000152689.17",4807,"RASGRP3","RAS"
"ENSG00000152700.13",6682,"SAR1B","secretion"
"ENSG00000152705.7",1367,"CATSPER3","cation"
"ENSG00000152749.7",8822,"GPR180","G"
"ENSG00000152760.9",2001,"TCTEX1D1","Tctex1"
"ENSG00000152763.16",3848,"WDR78","WD"
"ENSG00000152766.5",1596,"ANKRD22","ankyrin"
"ENSG00000152767.16",13532,"FARP1","FERM,"
"ENSG00000152778.8",4015,"IFIT5","interferon"
"ENSG00000152779.13",4617,"SLC16A12","solute"
"ENSG00000152782.16",6976,"PANK1","pantothenate"
"ENSG00000152784.15",4095,"PRDM8","PR/SET"
"ENSG00000152785.6",5734,"BMP3","bone"
"ENSG00000152795.17",4139,"HNRNPDL","heterogeneous"
"ENSG00000152804.10",1727,"HHEX","hematopoietically"
"ENSG00000152818.18",12339,"UTRN","utrophin"
"ENSG00000152822.13",6836,"GRM1","glutamate"
"ENSG00000152894.14",6087,"PTPRK","protein"
"ENSG00000152904.11",2895,"GGPS1","geranylgeranyl"
"ENSG00000152910.18",4867,"CNTNAP4","contactin"
"ENSG00000152926.14",9080,"ZNF117","zinc"
"ENSG00000152932.7",8896,"RAB3C","RAB3C,"
"ENSG00000152936.10",1729,"LMNTD1","lamin"
"ENSG00000152939.15",4376,"MARVELD2","MARVEL"
"ENSG00000152942.18",3233,"RAD17","RAD17"
"ENSG00000152944.8",1753,"MED21","mediator"
"ENSG00000152952.11",3732,"PLOD2","procollagen-lysine,2-oxoglutarate"
"ENSG00000152953.12",3582,"STK32B","serine/threonine"
"ENSG00000152954.11",2408,"NRSN1","neurensin"
"ENSG00000152969.18",2975,"JAKMIP1","janus"
"ENSG00000152977.9",5241,"ZIC1","Zic"
"ENSG00000152990.13",4566,"ADGRA3","adhesion"
"ENSG00000153002.11",1773,"CPB1","carboxypeptidase"
"ENSG00000153006.15",6876,"SREK1IP1","SREK1"
"ENSG00000153012.11",6428,"LGI2","leucine"
"ENSG00000153015.15",2103,"CWC27","CWC27"
"ENSG00000153029.14",7860,"MR1","major"
"ENSG00000153037.14",2841,"SRP19","signal"
"ENSG00000153044.9",1389,"CENPH","centromere"
"ENSG00000153046.17",3419,"CDYL","chromodomain"
"ENSG00000153048.10",3026,"CARHSP1","calcium"
"ENSG00000153060.7",1612,"TEKT5","tektin"
"ENSG00000153064.11",3544,"BANK1","B"
"ENSG00000153066.12",3178,"TXNDC11","thioredoxin"
"ENSG00000153071.14",4537,"DAB2","DAB2,"
"ENSG00000153086.13",1321,"ACMSD","aminocarboxymuconate"
"ENSG00000153093.18",2714,"ACOXL","acyl-CoA"
"ENSG00000153094.22",5231,"BCL2L11","BCL2"
"ENSG00000153107.12",8262,"ANAPC1","anaphase"
"ENSG00000153113.23",4506,"CAST","calpastatin"
"ENSG00000153130.17",5129,"SCOC","short"
"ENSG00000153132.12",3043,"CLGN","calmegin"
"ENSG00000153140.8",2432,"CETN3","centrin"
"ENSG00000153147.5",7923,"SMARCA5","SWI/SNF"
"ENSG00000153157.12",3130,"SYCP2L","synaptonemal"
"ENSG00000153162.8",2780,"BMP6","bone"
"ENSG00000153165.18",5594,"RGPD3","RANBP2-like"
"ENSG00000153179.12",3492,"RASSF3","Ras"
"ENSG00000153187.18",6858,"HNRNPU","heterogeneous"
"ENSG00000153201.15",11711,"RANBP2","RAN"
"ENSG00000153207.14",8751,"AHCTF1","AT-hook"
"ENSG00000153208.16",3954,"MERTK","MER"
"ENSG00000153214.9",5212,"TMEM87B","transmembrane"
"ENSG00000153230.4",945,"OR14K1","olfactory"
"ENSG00000153233.12",3529,"PTPRR","protein"
"ENSG00000153234.13",3472,"NR4A2","nuclear"
"ENSG00000153237.17",3122,"CCDC148","coiled-coil"
"ENSG00000153246.12",14371,"PLA2R1","phospholipase"
"ENSG00000153250.19",4273,"RBMS1","RNA"
"ENSG00000153253.16",9123,"SCN3A","sodium"
"ENSG00000153266.12",2074,"FEZF2","FEZ"
"ENSG00000153283.12",4516,"CD96","CD96"
"ENSG00000153291.15",2963,"SLC25A27","solute"
"ENSG00000153292.15",5468,"ADGRF1","adhesion"
"ENSG00000153294.11",3162,"ADGRF4","adhesion"
"ENSG00000153303.17",6142,"FRMD1","FERM"
"ENSG00000153310.19",3798,"FAM49B","family"
"ENSG00000153317.14",6344,"ASAP1","ArfGAP"
"ENSG00000153339.13",6226,"TRAPPC8","trafficking"
"ENSG00000153347.9",1560,"FAM81B","family"
"ENSG00000153391.15",3245,"INO80C","INO80"
"ENSG00000153395.9",3966,"LPCAT1","lysophosphatidylcholine"
"ENSG00000153404.14",12612,"PLEKHG4B","pleckstrin"
"ENSG00000153406.13",1719,"NMRAL1","NmrA"
"ENSG00000153443.12",2641,"UBALD1","UBA"
"ENSG00000153446.15",1872,"C16orf89","chromosome"
"ENSG00000153485.5",1303,"TMEM251","transmembrane"
"ENSG00000153487.12",5119,"ING1","inhibitor"
"ENSG00000153495.10",709,"TEX29","testis"
"ENSG00000153498.11",807,"SPACA7","sperm"
"ENSG00000153531.13",9759,"ADPRHL1","ADP-ribosylhydrolase"
"ENSG00000153551.13",2038,"CMTM7","CKLF"
"ENSG00000153558.14",3847,"FBXL2","F-box"
"ENSG00000153560.11",4148,"UBP1","upstream"
"ENSG00000153561.12",6301,"RMND5A","required"
"ENSG00000153563.15",3048,"CD8A","CD8a"
"ENSG00000153574.8",1848,"RPIA","ribose"
"ENSG00000153684.14",5237,"GOLGA8F","golgin"
"ENSG00000153707.16",9911,"PTPRD","protein"
"ENSG00000153714.5",1753,"LURAP1L","leucine"
"ENSG00000153721.18",21063,"CNKSR3","CNKSR"
"ENSG00000153767.9",3012,"GTF2E1","general"
"ENSG00000153774.8",1275,"CFDP1","craniofacial"
"ENSG00000153779.10",928,"TGIF2LX","TGFB"
"ENSG00000153786.12",3442,"ZDHHC7","zinc"
"ENSG00000153789.12",1898,"FAM92B","family"
"ENSG00000153790.11",3357,"C7orf31","chromosome"
"ENSG00000153802.11",2817,"TMPRSS11D","transmembrane"
"ENSG00000153814.11",3125,"JAZF1","JAZF"
"ENSG00000153815.16",4357,"CMIP","c-Maf"
"ENSG00000153820.12",6917,"SPHKAP","SPHK1"
"ENSG00000153822.13",4190,"KCNJ16","potassium"
"ENSG00000153823.18",2745,"PID1","phosphotyrosine"
"ENSG00000153827.13",9874,"TRIP12","thyroid"
"ENSG00000153832.11",3120,"FBXO36","F-box"
"ENSG00000153879.8",4109,"CEBPG","CCAAT"
"ENSG00000153885.14",4918,"KCTD15","potassium"
"ENSG00000153896.17",3476,"ZNF599","zinc"
"ENSG00000153898.12",2871,"MCOLN2","mucolipin"
"ENSG00000153902.13",2891,"LGI4","leucine"
"ENSG00000153904.19",4017,"DDAH1","dimethylarginine"
"ENSG00000153914.15",6781,"SREK1","splicing"
"ENSG00000153922.10",8095,"CHD1","chromodomain"
"ENSG00000153930.11",3840,"ANKFN1","ankyrin"
"ENSG00000153933.9",8660,"DGKE","diacylglycerol"
"ENSG00000153936.16",6736,"HS2ST1","heparan"
"ENSG00000153944.10",6364,"MSI2","musashi"
"ENSG00000153956.15",7563,"CACNA2D1","calcium"
"ENSG00000153975.9",2195,"ZUP1","zinc"
"ENSG00000153976.2",2527,"HS3ST3A1","heparan"
"ENSG00000153982.10",1821,"GDPD1","glycerophosphodiester"
"ENSG00000153989.7",4676,"NUS1","NUS1,"
"ENSG00000153993.13",6265,"SEMA3D","semaphorin"
"ENSG00000154001.13",6659,"PPP2R5E","protein"
"ENSG00000154007.6",1107,"ASB17","ankyrin"
"ENSG00000154016.13",2651,"GRAP","GRB2"
"ENSG00000154025.15",4436,"SLC5A10","solute"
"ENSG00000154027.18",3929,"AK5","adenylate"
"ENSG00000154040.20",2252,"CABYR","calcium"
"ENSG00000154059.9",3792,"IMPACT","impact"
"ENSG00000154065.16",3361,"ANKRD29","ankyrin"
"ENSG00000154079.5",1196,"SDHAF4","succinate"
"ENSG00000154080.13",11388,"CHST9","carbohydrate"
"ENSG00000154096.13",3556,"THY1","Thy-1"
"ENSG00000154099.17",2379,"DNAAF1","dynein"
"ENSG00000154102.10",1237,"C16orf74","chromosome"
"ENSG00000154114.12",5142,"TBCEL","tubulin"
"ENSG00000154118.12",3985,"JPH3","junctophilin"
"ENSG00000154122.13",8214,"ANKH","ANKH"
"ENSG00000154124.4",7800,"OTULIN","OTU"
"ENSG00000154127.9",6912,"UBASH3B","ubiquitin"
"ENSG00000154133.14",4710,"ROBO4","roundabout"
"ENSG00000154134.14",4569,"ROBO3","roundabout"
"ENSG00000154143.2",1667,"PANX3","pannexin"
"ENSG00000154144.12",4004,"TBRG1","transforming"
"ENSG00000154146.12",1306,"NRGN","neurogranin"
"ENSG00000154153.13",3268,"RETREG1","reticulophagy"
"ENSG00000154162.14",4164,"CDH12","cadherin"
"ENSG00000154165.4",1252,"GPR15","G"
"ENSG00000154174.7",4409,"TOMM70","translocase"
"ENSG00000154175.16",6783,"ABI3BP","ABI"
"ENSG00000154188.9",4353,"ANGPT1","angiopoietin"
"ENSG00000154217.14",6359,"PITPNC1","phosphatidylinositol"
"ENSG00000154222.14",5642,"CC2D1B","coiled-coil"
"ENSG00000154227.13",3894,"CERS3","ceramide"
"ENSG00000154229.11",8751,"PRKCA","protein"
"ENSG00000154237.12",7671,"LRRK1","leucine"
"ENSG00000154240.16",3517,"CEP112","centrosomal"
"ENSG00000154252.11",1370,"GAL3ST2","galactose-3-O-sulfotransferase"
"ENSG00000154258.16",6514,"ABCA9","ATP"
"ENSG00000154262.12",5300,"ABCA6","ATP"
"ENSG00000154263.17",6362,"ABCA10","ATP"
"ENSG00000154265.15",8220,"ABCA5","ATP"
"ENSG00000154269.14",3418,"ENPP3","ectonucleotide"
"ENSG00000154274.14",1949,"C4orf19","chromosome"
"ENSG00000154277.12",1172,"UCHL1","ubiquitin"
"ENSG00000154305.16",8142,"MIA3","MIA"
"ENSG00000154309.8",4762,"DISP1","dispatched"
"ENSG00000154310.16",6970,"TNIK","TRAF2"
"ENSG00000154319.14",4094,"FAM167A","family"
"ENSG00000154328.15",2671,"NEIL2","nei"
"ENSG00000154330.12",3338,"PGM5","phosphoglucomutase"
"ENSG00000154342.5",2932,"WNT3A","Wnt"
"ENSG00000154358.20",26925,"OBSCN","obscurin,"
"ENSG00000154359.12",3594,"LONRF1","LON"
"ENSG00000154370.15",5774,"TRIM11","tripartite"
"ENSG00000154380.17",13168,"ENAH","ENAH,"
"ENSG00000154415.7",4384,"PPP1R3A","protein"
"ENSG00000154429.10",5121,"CCSAP","centriole,"
"ENSG00000154438.7",1865,"ASZ1","ankyrin"
"ENSG00000154447.14",5272,"SH3RF1","SH3"
"ENSG00000154451.14",4699,"GBP5","guanylate"
"ENSG00000154473.17",7828,"BUB3","BUB3,"
"ENSG00000154478.3",7514,"GPR26","G"
"ENSG00000154479.12",2181,"CCDC173","coiled-coil"
"ENSG00000154485.4",1919,"MMP21","matrix"
"ENSG00000154493.18",3076,"C10orf90","chromosome"
"ENSG00000154511.11",2646,"FAM69A","family"
"ENSG00000154518.9",5484,"ATP5MC3","ATP"
"ENSG00000154529.14",7455,"CNTNAP3B","contactin"
"ENSG00000154545.16",2669,"MAGED4","MAGE"
"ENSG00000154548.8",3599,"SRSF12","serine"
"ENSG00000154553.14",2803,"PDLIM3","PDZ"
"ENSG00000154556.17",5996,"SORBS2","sorbin"
"ENSG00000154582.16",2780,"ELOC","elongin"
"ENSG00000154589.6",607,"LY96","lymphocyte"
"ENSG00000154611.14",1804,"PSMA8","proteasome"
"ENSG00000154620.5",1669,"TMSB4Y","thymosin"
"ENSG00000154639.18",6254,"CXADR","CXADR,"
"ENSG00000154640.14",1485,"BTG3","BTG"
"ENSG00000154642.10",5433,"C21orf91","chromosome"
"ENSG00000154645.13",2548,"CHODL","chondrolectin"
"ENSG00000154646.8",3947,"TMPRSS15","transmembrane"
"ENSG00000154654.14",8135,"NCAM2","neural"
"ENSG00000154655.15",4534,"L3MBTL4","L3MBTL4,"
"ENSG00000154678.16",8852,"PDE1C","phosphodiesterase"
"ENSG00000154710.17",4319,"RABGEF1","RAB"
"ENSG00000154719.13",1199,"MRPL39","mitochondrial"
"ENSG00000154721.14",4337,"JAM2","junctional"
"ENSG00000154723.12",1179,"ATP5PF","ATP"
"ENSG00000154727.10",5120,"GABPA","GA"
"ENSG00000154734.14",5191,"ADAMTS1","ADAM"
"ENSG00000154736.5",9056,"ADAMTS5","ADAM"
"ENSG00000154743.17",2697,"TSEN2","tRNA"
"ENSG00000154760.13",8469,"SLFN13","schlafen"
"ENSG00000154764.5",4041,"WNT7A","Wnt"
"ENSG00000154767.14",3832,"XPC","XPC"
"ENSG00000154781.15",2942,"CCDC174","coiled-coil"
"ENSG00000154783.11",5768,"FGD5","FYVE,"
"ENSG00000154803.12",3638,"FLCN","folliculin"
"ENSG00000154813.9",3131,"DPH3","diphthamide"
"ENSG00000154814.13",3983,"OXNAD1","oxidoreductase"
"ENSG00000154822.17",4147,"PLCL2","phospholipase"
"ENSG00000154832.14",2936,"CXXC1","CXXC"
"ENSG00000154839.9",2905,"SKA1","spindle"
"ENSG00000154845.15",3925,"PPP4R1","protein"
"ENSG00000154856.12",3809,"APCDD1","APC"
"ENSG00000154864.12",9718,"PIEZO2","piezo"
"ENSG00000154889.16",4236,"MPPE1","metallophosphoesterase"
"ENSG00000154914.16",4169,"USP43","ubiquitin"
"ENSG00000154917.10",5526,"RAB6B","RAB6B,"
"ENSG00000154920.14",2354,"EME1","essential"
"ENSG00000154928.16",4672,"EPHB1","EPH"
"ENSG00000154930.14",3680,"ACSS1","acyl-CoA"
"ENSG00000154945.6",4184,"ANKRD40","ankyrin"
"ENSG00000154957.13",2767,"ZNF18","zinc"
"ENSG00000154975.13",3189,"CA10","carbonic"
"ENSG00000154978.12",2962,"VOPP1","VOPP1,"
"ENSG00000154997.8",3785,"SEPT14","septin"
"ENSG00000155008.13",6466,"APOOL","apolipoprotein"
"ENSG00000155011.8",3638,"DKK2","dickkopf"
"ENSG00000155016.17",4944,"CYP2U1","cytochrome"
"ENSG00000155026.16",3222,"RSPH10B","radial"
"ENSG00000155034.18",3498,"FBXL18","F-box"
"ENSG00000155052.14",5284,"CNTNAP5","contactin"
"ENSG00000155066.15",4728,"PROM2","prominin"
"ENSG00000155085.15",6326,"AK9","adenylate"
"ENSG00000155087.3",1013,"ODF1","outer"
"ENSG00000155090.14",3659,"KLF10","Kruppel"
"ENSG00000155093.17",4723,"PTPRN2","protein"
"ENSG00000155096.13",4721,"AZIN1","antizyme"
"ENSG00000155097.11",5612,"ATP6V1C1","ATPase"
"ENSG00000155099.7",2970,"PIP4P2","phosphatidylinositol-4,5-bisphosphate"
"ENSG00000155100.10",3434,"OTUD6B","OTU"
"ENSG00000155111.14",6246,"CDK19","cyclin"
"ENSG00000155115.6",952,"GTF3C6","general"
"ENSG00000155158.20",10483,"TTC39B","tetratricopeptide"
"ENSG00000155189.11",3685,"AGPAT5","1-acylglycerol-3-phosphate"
"ENSG00000155229.20",3797,"MMS19","MMS19"
"ENSG00000155249.5",1358,"OR4K1","olfactory"
"ENSG00000155252.13",4189,"PI4K2A","phosphatidylinositol"
